"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train"
"6961",10083.48688,"Yes","Extended","High School or Below","Retired","F",11828,"Suburban","Divorced",90,18,84,0,2,"Personal Auto","Personal L3","Offer1","Agent",571.479602,"Four-Door Car","Large",5987.07557087183
"6963",7154.094304,"No","Basic","Bachelor","Employed","F",28204,"Urban","Married",182,30,84,0,1,"Personal Auto","Personal L2","Offer2","Branch",532.089467,"Luxury Car","Medsize",9575.73805998983
"6965",2731.39917,"No","Basic","Master","Employed","F",43386,"Urban","Married",68,13,79,0,1,"Personal Auto","Personal L2","Offer3","Call Center",315.353519,"Two-Door Car","Medsize",4662.10850222761
"6966",7429.079194,"No","Premium","High School or Below","Unemployed","M",0,"Suburban","Married",101,6,43,0,9,"Personal Auto","Personal L3","Offer3","Branch",549.692452,"Four-Door Car","Medsize",8767.54006485916
"6967",2616.613903,"Yes","Basic","College","Employed","M",72302,"Suburban","Divorced",66,6,27,0,1,"Personal Auto","Personal L3","Offer1","Agent",316.8,"Two-Door Car","Medsize",4571.27906185667
"6968",8044.872393,"Yes","Basic","Bachelor","Employed","M",71391,"Urban","Married",67,29,39,0,2,"Corporate Auto","Corporate L1","Offer2","Agent",284.000172,"Four-Door Car","Medsize",4678.88846322465
"6970",10014.02955,"No","Extended","Bachelor","Employed","F",74489,"Rural","Married",124,11,36,0,3,"Special Auto","Special L2","Offer3","Branch",128.535182,"SUV","Medsize",8473.15512309854
"6971",4745.181764,"No","Basic","High School or Below","Employed","M",50549,"Suburban","Divorced",61,2,73,0,7,"Personal Auto","Personal L3","Offer1","Agent",292.8,"Four-Door Car","Medsize",6299.2648083126
"6972",14040.96476,"No","Basic","Bachelor","Unemployed","F",0,"Urban","Married",195,9,33,1,5,"Personal Auto","Personal L2","Offer1","Web",669.037562,"Luxury SUV","Small",11582.6013857178
"6973",14635.45158,"Yes","Extended","Bachelor","Unemployed","F",0,"Suburban","Divorced",139,5,56,0,2,"Corporate Auto","Corporate L2","Offer1","Call Center",667.2,"SUV","Medsize",8828.53270131671
"6974",3885.456401,"Yes","Premium","College","Unemployed","M",0,"Suburban","Married",105,3,92,0,1,"Personal Auto","Personal L2","Offer1","Branch",504,"Four-Door Car","Large",6342.45314909
"6976",9384.654502,"No","Basic","High School or Below","Employed","F",25370,"Suburban","Married",116,21,64,0,3,"Special Auto","Special L3","Offer4","Web",556.8,"SUV","Small",8109.83736161478
"6977",5007.672425,"No","Basic","College","Employed","M",51523,"Suburban","Married",62,31,0,0,3,"Personal Auto","Personal L2","Offer4","Agent",297.6,"Four-Door Car","Small",5041.30663024255
"6980",4892.628631,"No","Basic","High School or Below","Employed","F",27005,"Suburban","Married",61,10,72,0,7,"Corporate Auto","Corporate L2","Offer2","Agent",311.84034,"Four-Door Car","Small",6035.61626493123
"6981",5365.93282,"No","Basic","College","Employed","F",62808,"Urban","Married",66,33,37,0,4,"Special Auto","Special L2","Offer3","Branch",211.515893,"Two-Door Car","Medsize",5548.80873554831
"6982",5163.838813,"No","Basic","High School or Below","Employed","F",88692,"Urban","Married",64,29,26,0,5,"Personal Auto","Personal L2","Offer1","Agent",253.193647,"Four-Door Car","Medsize",5783.82251974125
"6984",7403.447336,"No","Extended","Master","Medical Leave","F",19064,"Rural","Married",98,23,35,1,7,"Personal Auto","Personal L3","Offer1","Agent",136.248799,"Four-Door Car","Medsize",7829.05997685493
"6985",6051.637445,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",88,16,80,0,6,"Personal Auto","Personal L2","Offer3","Agent",633.6,"Two-Door Car","Large",7199.61902875641
"6986",7229.329257,"No","Extended","Bachelor","Employed","M",60345,"Rural","Single",93,22,10,0,5,"Personal Auto","Personal L3","Offer2","Web",36.105928,"Two-Door Car","Large",6837.20086173851
"6987",3300.607083,"No","Extended","Bachelor","Employed","F",59592,"Rural","Divorced",84,8,49,0,1,"Personal Auto","Personal L1","Offer2","Web",161.231812,"Four-Door Car","Small",5125.09548181376
"6990",4349.104278,"No","Basic","College","Employed","F",90893,"Suburban","Single",110,33,0,0,1,"Personal Auto","Personal L3","Offer2","Web",700.004018,"SUV","Medsize",6922.01404799284
"6991",4882.073243,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Divorced",66,18,66,0,6,"Personal Auto","Personal L3","Offer1","Call Center",475.2,"Four-Door Car","Small",6200.49518467607
"6992",10114.98621,"No","Extended","College","Employed","F",74001,"Urban","Married",84,16,0,0,2,"Corporate Auto","Corporate L3","Offer4","Call Center",224.265232,"Four-Door Car","Medsize",5714.58724975901
"6993",5259.709581,"No","Basic","College","Employed","M",28447,"Suburban","Married",67,20,99,0,3,"Personal Auto","Personal L3","Offer4","Agent",321.6,"Four-Door Car","Medsize",5268.3802311699
"6994",4013.945512,"No","Basic","College","Employed","M",56586,"Rural","Married",100,33,86,0,1,"Personal Auto","Personal L3","Offer2","Agent",121.928014,"Sports Car","Medsize",5851.73100478129
"6996",4518.782768,"No","Basic","Doctor","Retired","M",19186,"Suburban","Divorced",62,10,34,0,5,"Personal Auto","Personal L1","Offer3","Branch",297.6,"Four-Door Car","Small",5692.99307937031
"6998",6265.343299,"Yes","Extended","Doctor","Unemployed","F",0,"Suburban","Married",84,18,25,1,4,"Personal Auto","Personal L3","Offer1","Agent",481.025786,"Four-Door Car","Medsize",6215.72422056671
"7000",3618.432755,"No","Extended","College","Unemployed","M",0,"Suburban","Divorced",99,0,71,0,1,"Special Auto","Special L2","Offer1","Branch",475.2,"Four-Door Car","Medsize",6069.96482797718
"7005",7462.926263,"Yes","Extended","College","Employed","F",70263,"Rural","Married",93,30,66,0,5,"Corporate Auto","Corporate L2","Offer2","Call Center",7.345946,"Two-Door Car","Small",6837.20086173851
"7006",9031.214859,"Yes","Extended","Master","Unemployed","F",0,"Suburban","Single",122,15,47,0,9,"Corporate Auto","Corporate L2","Offer1","Branch",650.52179,"Sports Car","Medsize",9721.24918875403
"7007",7028.940001,"No","Basic","High School or Below","Medical Leave","F",18120,"Suburban","Married",63,34,90,4,2,"Personal Auto","Personal L3","Offer1","Web",302.4,"Two-Door Car","Small",4158.6802125839
"7014",11955.39598,"No","Extended","College","Employed","F",71587,"Rural","Married",99,1,74,0,2,"Personal Auto","Personal L3","Offer1","Agent",133.103003,"Two-Door Car","Medsize",6395.80805254106
"7016",4669.22664,"Yes","Premium","High School or Below","Employed","F",76157,"Suburban","Married",116,15,80,0,1,"Personal Auto","Personal L3","Offer2","Call Center",556.8,"Two-Door Car","Small",6578.36652774881
"7017",9100.731403,"No","Basic","High School or Below","Employed","F",59183,"Suburban","Married",113,11,91,0,5,"Personal Auto","Personal L2","Offer3","Agent",542.4,"SUV","Medsize",8625.27965018613
"7018",14663.19646,"No","Basic","Master","Employed","M",91015,"Rural","Divorced",73,31,30,1,2,"Personal Auto","Personal L3","Offer3","Agent",119.062347,"Two-Door Car","Medsize",5064.47584939878
"7020",2647.519741,"Yes","Basic","College","Employed","M",37876,"Urban","Single",69,13,15,0,1,"Personal Auto","Personal L2","Offer2","Agent",300.056383,"Four-Door Car","Medsize",4443.87467903171
"7021",8072.245595,"No","Basic","Bachelor","Employed","F",57938,"Urban","Married",101,6,36,0,3,"Special Auto","Special L3","Offer3","Branch",282.458203,"SUV","Large",7428.61655883273
"7023",2485.109896,"No","Basic","Bachelor","Employed","M",76608,"Rural","Married",62,2,2,0,1,"Personal Auto","Personal L3","Offer1","Call Center",91.229768,"Four-Door Car","Small",4389.62018111479
"7025",3129.110699,"No","Extended","High School or Below","Employed","F",48056,"Suburban","Married",78,15,92,0,1,"Corporate Auto","Corporate L3","Offer3","Agent",374.4,"Four-Door Car","Small",5116.25570408231
"7026",8349.523082,"No","Basic","Bachelor","Employed","M",45428,"Urban","Divorced",109,2,46,1,3,"Corporate Auto","Corporate L3","Offer1","Call Center",487.273964,"SUV","Medsize",7641.38484199643
"7027",3241.588659,"No","Extended","Bachelor","Employed","F",89196,"Rural","Divorced",81,17,52,0,1,"Personal Auto","Personal L3","Offer1","Agent",41.182611,"Four-Door Car","Small",5252.49986463872
"7028",6925.182046,"No","Extended","Bachelor","Employed","F",88893,"Rural","Married",86,5,63,0,9,"Personal Auto","Personal L3","Offer2","Call Center",72.86746,"Four-Door Car","Small",7822.67071869574
"7031",5979.724161,"Yes","Extended","High School or Below","Employed","F",57693,"Suburban","Divorced",76,16,56,0,3,"Personal Auto","Personal L2","Offer2","Agent",547.2,"Four-Door Car","Medsize",5413.46416945776
"7032",5416.413581,"No","Basic","Bachelor","Employed","F",53249,"Suburban","Married",67,32,10,0,3,"Personal Auto","Personal L3","Offer2","Web",343.340361,"Four-Door Car","Large",5004.73168778853
"7033",2345.129694,"No","Basic","Bachelor","Medical Leave","F",26304,"Suburban","Single",63,22,93,0,1,"Personal Auto","Personal L3","Offer1","Call Center",302.4,"Four-Door Car","Medsize",4435.03490130026
"7036",5595.389905,"Yes","Basic","High School or Below","Employed","F",74454,"Suburban","Single",71,25,29,0,3,"Corporate Auto","Corporate L2","Offer2","Call Center",340.8,"Four-Door Car","Medsize",5186.39056853041
"7037",3979.718986,"No","Extended","Bachelor","Employed","F",96413,"Suburban","Married",99,3,78,0,1,"Personal Auto","Personal L2","Offer3","Web",560.045764,"Four-Door Car","Small",6069.96482797718
"7038",10925.82157,"No","Extended","High School or Below","Employed","F",98542,"Suburban","Single",90,1,93,0,2,"Personal Auto","Personal L3","Offer2","Agent",432,"Two-Door Car","Small",5723.42702749046
"7041",2760.476712,"No","Basic","Bachelor","Employed","M",79065,"Urban","Married",69,13,24,0,1,"Corporate Auto","Corporate L2","Offer2","Web",290.886242,"Four-Door Car","Medsize",4443.87467903171
"7043",3816.408655,"No","Extended","College","Employed","F",82414,"Rural","Divorced",95,10,85,0,1,"Personal Auto","Personal L3","Offer4","Branch",30.423443,"Four-Door Car","Large",5888.3059472353
"7044",11172.49931,"No","Basic","High School or Below","Disabled","M",14533,"Suburban","Single",63,4,20,0,2,"Personal Auto","Personal L3","Offer1","Branch",302.4,"Four-Door Car","Medsize",4760.87812586414
"7045",2456.816127,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",73,15,59,0,1,"Personal Auto","Personal L3","Offer4","Branch",525.6,"Four-Door Car","Small",4889.18210315496
"7046",7480.713618,"No","Basic","Bachelor","Employed","F",52513,"Rural","Married",65,0,76,3,2,"Personal Auto","Personal L3","Offer3","Web",91.244938,"Two-Door Car","Medsize",4400.0591312749
"7047",2659.70565,"Yes","Extended","College","Unemployed","F",0,"Suburban","Divorced",87,4,4,3,1,"Personal Auto","Personal L3","Offer2","Agent",420.041981,"Four-Door Car","Medsize",4809.69120741
"7048",4626.801093,"Yes","Basic","Master","Employed","F",79487,"Suburban","Divorced",114,20,87,0,1,"Personal Auto","Personal L1","Offer2","Branch",547.2,"SUV","Medsize",7103.67292873472
"7049",12157.32992,"Yes","Premium","High School or Below","Employed","M",57449,"Suburban","Single",103,6,28,0,2,"Personal Auto","Personal L2","Offer1","Agent",494.4,"Four-Door Car","Medsize",6577.46693328294
"7051",2821.352024,"No","Basic","Bachelor","Employed","M",73339,"Urban","Married",71,0,61,0,1,"Corporate Auto","Corporate L1","Offer2","Web",244.401453,"Four-Door Car","Medsize",4534.70411940265
"7053",4202.663699,"No","Basic","Bachelor","Employed","F",74057,"Suburban","Married",105,12,75,1,1,"Personal Auto","Personal L2","Offer3","Branch",632.244063,"SUV","Small",6808.03951212679
"7056",5059.987477,"No","Basic","High School or Below","Employed","M",70999,"Suburban","Married",63,5,70,0,3,"Corporate Auto","Corporate L2","Offer4","Agent",305.603239,"Four-Door Car","Small",5086.72135042802
"7058",4430.572112,"No","Basic","High School or Below","Employed","M",24059,"Suburban","Married",112,31,17,0,1,"Personal Auto","Personal L3","Offer4","Web",537.6,"SUV","Medsize",7276.49203174514
"7059",10330.43794,"No","Extended","College","Employed","M",56480,"Urban","Married",87,13,62,0,2,"Personal Auto","Personal L3","Offer1","Call Center",384.695536,"Four-Door Car","Medsize",5850.83141031542
"7060",9918.69966,"No","Basic","College","Employed","F",37586,"Rural","Divorced",63,29,90,0,2,"Corporate Auto","Corporate L3","Offer1","Branch",153.489143,"Two-Door Car","Medsize",4760.87812586414
"7061",5876.373894,"No","Basic","High School or Below","Employed","M",97026,"Rural","Married",73,30,66,0,3,"Personal Auto","Personal L3","Offer2","Call Center",97.417808,"Two-Door Car","Medsize",5277.22000890135
"7062",2734.439188,"No","Basic","College","Employed","M",54010,"Suburban","Married",69,5,89,0,1,"Personal Auto","Personal L2","Offer2","Branch",331.2,"Four-Door Car","Medsize",4443.87467903171
"7064",9521.676094,"No","Basic","Bachelor","Employed","F",74583,"Rural","Married",118,31,20,0,4,"Personal Auto","Personal L1","Offer1","Agent",161.210468,"SUV","Medsize",8526.5100265496
"7066",6431.736287,"No","Extended","High School or Below","Medical Leave","M",21238,"Suburban","Married",95,11,38,4,4,"Personal Auto","Personal L2","Offer1","Call Center",456,"Four-Door Car","Medsize",6263.63770764671
"7071",4080.81891,"No","Basic","College","Employed","F",57283,"Urban","Single",106,9,85,1,1,"Personal Auto","Personal L3","Offer3","Web",337.95778,"SUV","Medsize",6853.45423231226
"7074",3445.86241,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Divorced",94,33,95,0,1,"Corporate Auto","Corporate L2","Offer1","Web",590.626396,"Four-Door Car","Small",5842.89122704983
"7075",6625.28717,"No","Extended","Bachelor","Employed","M",41460,"Suburban","Married",83,1,54,0,4,"Personal Auto","Personal L3","Offer3","Branch",398.4,"Four-Door Car","Medsize",6320.8589787013
"7077",3871.778009,"No","Premium","High School or Below","Unemployed","F",0,"Suburban","Single",111,10,75,0,1,"Personal Auto","Personal L3","Offer2","Agent",799.2,"Four-Door Car","Medsize",6351.29292682146
"7079",6689.022728,"Yes","Extended","High School or Below","Employed","M",56980,"Suburban","Married",84,33,70,0,7,"Personal Auto","Personal L1","Offer2","Agent",599.000883,"Two-Door Car","Medsize",7080.15482919704
"7082",2506.197852,"No","Basic","High School or Below","Employed","M",92056,"Rural","Married",62,21,1,0,1,"Personal Auto","Personal L3","Offer2","Branch",89.398794,"Four-Door Car","Medsize",4125.97163773342
"7083",4967.544169,"No","Basic","College","Employed","F",28524,"Suburban","Married",62,26,45,0,9,"Personal Auto","Personal L3","Offer2","Web",297.6,"Four-Door Car","Medsize",6732.71743424446
"7085",3146.037899,"No","Extended","Bachelor","Employed","F",28089,"Suburban","Single",82,11,72,1,1,"Personal Auto","Personal L2","Offer4","Agent",411.856297,"Two-Door Car","Medsize",5147.36510650413
"7087",2860.747385,"No","Basic","Doctor","Employed","M",27907,"Suburban","Divorced",74,3,38,1,1,"Personal Auto","Personal L2","Offer3","Call Center",406.439436,"Four-Door Car","Medsize",4784.04734502037
"7088",2857.11061,"No","Basic","Bachelor","Employed","F",91811,"Urban","Married",70,1,85,0,1,"Personal Auto","Personal L3","Offer1","Call Center",333.7925,"Four-Door Car","Medsize",4752.93794259855
"7089",7630.346461,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",111,21,20,0,8,"Special Auto","Special L3","Offer1","Agent",799.2,"SUV","Large",9511.97988350683
"7091",5113.899098,"No","Basic","Bachelor","Employed","M",92427,"Rural","Married",64,2,48,2,3,"Personal Auto","Personal L3","Offer1","Call Center",126.049033,"Four-Door Car","Large",4831.03711397337
"7093",12036.62051,"Yes","Basic","Bachelor","Employed","M",44428,"Suburban","Single",104,17,61,0,2,"Special Auto","Special L3","Offer1","Call Center",499.2,"SUV","Medsize",7239.01749482526
"7095",4911.458509,"No","Basic","College","Employed","M",52796,"Suburban","Divorced",62,6,17,0,3,"Corporate Auto","Corporate L2","Offer4","Call Center",297.6,"Four-Door Car","Medsize",5041.30663024255
"7097",2396.219292,"Yes","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",66,6,71,2,1,"Corporate Auto","Corporate L3","Offer2","Call Center",433.160284,"Four-Door Car","Large",4006.53156183519
"7098",5671.927479,"No","Basic","High School or Below","Employed","F",34974,"Urban","Married",71,7,36,0,3,"Special Auto","Special L1","Offer1","Web",315.160937,"Four-Door Car","Medsize",5450.03911191178
"7099",14413.37774,"No","Basic","College","Employed","F",56457,"Rural","Single",73,27,68,0,2,"Personal Auto","Personal L2","Offer3","Web",138.460771,"Four-Door Car","Large",5215.02532771884
"7100",5217.513287,"Yes","Basic","Bachelor","Employed","F",39854,"Urban","Divorced",66,6,4,0,7,"Personal Auto","Personal L3","Offer2","Web",261.930545,"Two-Door Car","Medsize",6262.68986585858
"7101",2363.295991,"No","Basic","Bachelor","Employed","F",27839,"Suburban","Married",65,20,54,5,1,"Personal Auto","Personal L1","Offer3","Agent",312,"Two-Door Car","Small",3773.11695007091
"7102",4655.605831,"No","Basic","High School or Below","Employed","M",88240,"Suburban","Divorced",117,3,94,0,1,"Personal Auto","Personal L1","Offer1","Branch",561.6,"SUV","Small",7503.56563267249
"7104",10248.89802,"No","Extended","College","Employed","M",52693,"Suburban","Married",129,1,0,0,5,"Personal Auto","Personal L2","Offer1","Branch",619.2,"SUV","Medsize",9351.91517315365
"7105",6897.505859,"No","Premium","Bachelor","Employed","F",65337,"Suburban","Married",173,9,22,1,1,"Personal Auto","Personal L3","Offer1","Agent",830.4,"SUV","Large",9896.24048473876
"7106",5010.37931,"No","Basic","Bachelor","Employed","F",64014,"Urban","Single",63,26,27,0,7,"Corporate Auto","Corporate L3","Offer1","Agent",295.871784,"Four-Door Car","Large",6390.09424868354
"7107",4250.282624,"Yes","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",61,17,1,1,7,"Personal Auto","Personal L2","Offer1","Agent",292.8,"Four-Door Car","Small",6148.71532999254
"7108",10208.92761,"Yes","Extended","College","Employed","F",35482,"Suburban","Married",129,21,59,0,3,"Corporate Auto","Corporate L1","Offer1","Branch",619.2,"SUV","Medsize",8700.22872402589
"7110",4476.81416,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Divorced",62,22,46,0,3,"Personal Auto","Personal L2","Offer2","Agent",297.6,"Four-Door Car","Medsize",4777.65808686118
"7111",2755.221411,"No","Basic","High School or Below","Employed","F",39393,"Suburban","Married",70,24,56,1,1,"Special Auto","Special L2","Offer2","Agent",405.883346,"Four-Door Car","Medsize",4338.73992089712
"7112",8271.906799,"No","Basic","College","Employed","M",62912,"Rural","Married",69,9,89,0,2,"Personal Auto","Personal L1","Offer2","Branch",168.358644,"Two-Door Car","Medsize",4769.71790359559
"7113",5927.389227,"No","Premium","High School or Below","Employed","M",33561,"Rural","Divorced",152,6,30,0,1,"Corporate Auto","Corporate L3","Offer3","Branch",235.316581,"Sports Car","Medsize",8476.9449978071
"7116",6446.706674,"No","Extended","High School or Below","Employed","F",55037,"Suburban","Married",80,20,88,1,8,"Corporate Auto","Corporate L2","Offer3","Agent",481.823284,"Four-Door Car","Medsize",7337.43823808035
"7117",4484.254754,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",65,22,44,0,8,"Personal Auto","Personal L2","Offer4","Agent",463.382118,"Four-Door Car","Medsize",6806.76691361836
"7120",5391.775844,"No","Basic","College","Employed","F",63633,"Suburban","Married",68,16,21,1,8,"Corporate Auto","Corporate L1","Offer2","Agent",374.024077,"Two-Door Car","Medsize",6528.81305247334
"7122",6369.262355,"Yes","Extended","High School or Below","Employed","M",34498,"Suburban","Single",83,30,72,0,7,"Personal Auto","Personal L1","Offer2","Branch",398.4,"Two-Door Car","Small",7034.74010901157
"7123",5316.7566,"No","Basic","College","Employed","F",28559,"Suburban","Married",66,5,1,0,5,"Corporate Auto","Corporate L3","Offer4","Call Center",427.242973,"Four-Door Car","Medsize",5874.65196011219
"7124",5124.218174,"No","Basic","Doctor","Employed","M",73740,"Urban","Divorced",64,23,3,0,3,"Personal Auto","Personal L3","Offer1","Agent",229.272206,"Two-Door Car","Medsize",5132.13607061349
"7126",2594.905944,"No","Basic","College","Retired","F",25925,"Suburban","Married",72,5,85,3,1,"Corporate Auto","Corporate L3","Offer2","Web",660.587577,"Two-Door Car","Small",4128.47040462795
"7130",10546.65545,"No","Extended","Master","Employed","F",43922,"Rural","Married",88,26,88,0,2,"Personal Auto","Personal L3","Offer2","Web",108.701381,"Four-Door Car","Medsize",5632.59758711952
"7131",8388.717011,"No","Basic","Bachelor","Employed","F",87123,"Rural","Married",69,13,87,0,2,"Corporate Auto","Corporate L3","Offer1","Agent",118.468275,"Four-Door Car","Large",5033.36644697696
"7132",7188.607263,"No","Basic","Bachelor","Unemployed","F",0,"Urban","Married",66,15,24,0,2,"Personal Auto","Personal L3","Offer2","Web",278.574142,"Four-Door Car","Medsize",4633.47374303918
"7133",3238.929524,"No","Extended","Master","Employed","F",68745,"Suburban","Married",80,5,42,0,1,"Personal Auto","Personal L3","Offer4","Branch",473.613006,"Four-Door Car","Medsize",5207.08514445325
"7134",10960.93667,"No","Extended","College","Employed","F",29815,"Rural","Single",95,35,18,0,2,"Personal Auto","Personal L1","Offer4","Agent",76.175672,"Four-Door Car","Medsize",6214.14917179918
"7136",2004.350666,"Yes","Basic","College","Unemployed","F",0,"Suburban","Divorced",66,16,35,4,1,"Personal Auto","Personal L3","Offer1","Branch",316.8,"Four-Door Car","Small",3969.08114857643
"7140",9031.214859,"Yes","Extended","Master","Unemployed","F",0,"Suburban","Single",122,15,47,0,9,"Personal Auto","Personal L2","Offer1","Branch",650.52179,"Sports Car","Medsize",9721.24918875403
"7143",8560.162384,"No","Basic","High School or Below","Retired","F",28120,"Suburban","Married",112,7,52,0,3,"Personal Auto","Personal L3","Offer1","Web",537.6,"SUV","Medsize",7928.1784808729
"7144",7714.623619,"No","Basic","College","Unemployed","F",0,"Suburban","Single",106,3,90,0,8,"Personal Auto","Personal L3","Offer2","Agent",763.2,"Sports Car","Medsize",8405.12189784126
"7145",2936.993695,"No","Extended","Bachelor","Employed","M",44369,"Urban","Divorced",77,7,35,3,1,"Personal Auto","Personal L2","Offer1","Web",362.276183,"Four-Door Car","Medsize",4619.19254893666
"7146",5112.104787,"No","Basic","High School or Below","Disabled","M",15131,"Suburban","Married",67,14,13,0,9,"Personal Auto","Personal L3","Offer1","Agent",321.6,"Four-Door Car","Large",7223.43957855318
"7147",5119.901412,"No","Basic","Bachelor","Employed","F",26890,"Suburban","Married",65,28,37,0,4,"Personal Auto","Personal L3","Offer2","Branch",312,"Two-Door Car","Small",5239.74547198147
"7148",2494.869528,"No","Basic","Doctor","Employed","M",45855,"Rural","Married",62,0,26,1,1,"Personal Auto","Personal L3","Offer3","Web",0.887629,"Four-Door Car","Large",4239.07070279473
"7150",5656.203464,"No","Basic","Bachelor","Employed","F",45586,"Urban","Divorced",72,17,20,0,4,"Personal Auto","Personal L2","Offer1","Branch",203.42306,"Four-Door Car","Medsize",5821.29705666113
"7151",15673.13621,"No","Extended","College","Employed","M",43267,"Suburban","Married",78,8,10,0,2,"Special Auto","Special L2","Offer4","Agent",453.073096,"Four-Door Car","Large",5442.09892864619
"7152",8509.453945,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",82,15,20,0,2,"Personal Auto","Personal L2","Offer2","Branch",590.4,"Four-Door Car","Medsize",5360.1092660067
"7153",6418.24871,"No","Extended","Master","Employed","M",46648,"Rural","Divorced",81,8,26,0,7,"Personal Auto","Personal L3","Offer4","Web",123.576765,"Four-Door Car","Medsize",7207.559212022
"7154",3055.70113,"No","Extended","High School or Below","Employed","F",42406,"Rural","Married",77,15,49,0,1,"Corporate Auto","Corporate L3","Offer4","Call Center",108.871857,"Four-Door Car","Medsize",5070.84098389684
"7155",5746.05593,"No","Basic","Master","Employed","M",50798,"Rural","Married",72,21,59,0,7,"Personal Auto","Personal L3","Offer2","Call Center",64.977867,"Four-Door Car","Medsize",6535.1781869714
"7157",6005.847375,"Yes","Extended","College","Retired","M",13528,"Suburban","Single",86,21,35,0,3,"Personal Auto","Personal L2","Offer1","Agent",412.8,"Four-Door Car","Medsize",6131.25991469383
"7158",5028.839465,"No","Basic","Bachelor","Unemployed","M",0,"Rural","Married",67,21,85,0,8,"Personal Auto","Personal L3","Offer1","Branch",80.753763,"Four-Door Car","Medsize",6897.5963539893
"7165",3482.038245,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",96,31,85,0,1,"Personal Auto","Personal L2","Offer1","Agent",726.132858,"Four-Door Car","Medsize",5933.72066742077
"7168",5292.202092,"No","Basic","College","Employed","M",67899,"Suburban","Married",66,5,31,1,6,"Corporate Auto","Corporate L3","Offer3","Agent",316.8,"Four-Door Car","Medsize",6049.94570635601
"7169",6553.943457,"No","Basic","College","Unemployed","F",0,"Suburban","Single",61,4,68,0,2,"Corporate Auto","Corporate L2","Offer3","Call Center",365.820487,"Two-Door Car","Medsize",4670.0486854932
"7170",7618.442045,"No","Basic","College","Employed","F",41900,"Urban","Married",63,0,34,0,2,"Corporate Auto","Corporate L3","Offer2","Web",170.496071,"Four-Door Car","Large",4497.22958248277
"7172",3142.81161,"No","Extended","College","Employed","F",60108,"Suburban","Married",78,0,63,0,1,"Personal Auto","Personal L3","Offer1","Agent",507.060901,"Four-Door Car","Medsize",5116.25570408231
"7174",5096.700181,"No","Basic","College","Employed","F",27940,"Rural","Married",65,21,3,1,4,"Personal Auto","Personal L3","Offer2","Agent",27.66775,"Two-Door Car","Medsize",5089.19599366141
"7175",4889.609695,"No","Extended","High School or Below","Employed","F",51246,"Suburban","Married",122,4,89,0,1,"Personal Auto","Personal L3","Offer2","Web",817.692013,"SUV","Medsize",7466.99069021848
"7176",5112.570311,"No","Basic","Bachelor","Employed","M",56587,"Suburban","Divorced",65,4,88,1,6,"Personal Auto","Personal L3","Offer1","Web",312,"Four-Door Car","Medsize",6004.53098617054
"7177",2725.322949,"No","Basic","High School or Below","Employed","F",45025,"Suburban","Married",69,35,85,1,1,"Personal Auto","Personal L2","Offer1","Agent",452.271771,"Four-Door Car","Medsize",4556.97374409302
"7179",15042.57658,"No","Premium","Bachelor","Employed","F",22799,"Suburban","Married",190,10,75,0,6,"Corporate Auto","Corporate L1","Offer2","Branch",912,"SUV","Medsize",12184.4077856498
"7182",3324.551776,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Married",92,13,17,0,1,"Personal Auto","Personal L2","Offer1","Agent",441.6,"Two-Door Car","Medsize",5752.06178667889
"7184",7600.034998,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",70,3,94,0,2,"Personal Auto","Personal L2","Offer1","Agent",504,"Four-Door Car","Medsize",5078.78116716243
"7185",6950.100195,"No","Extended","High School or Below","Employed","F",21687,"Suburban","Married",88,10,68,0,8,"Personal Auto","Personal L3","Offer2","Agent",603.100479,"Four-Door Car","Medsize",7587.6569345028
"7186",4605.036646,"Yes","Basic","College","Medical Leave","F",22571,"Suburban","Single",63,29,51,0,9,"Personal Auto","Personal L3","Offer2","Web",302.4,"Four-Door Car","Large",6778.13215442993
"7187",5864.381825,"No","Basic","High School or Below","Employed","F",72032,"Suburban","Married",72,10,73,0,4,"Personal Auto","Personal L2","Offer2","Web",438.149129,"Four-Door Car","Medsize",5557.64851327976
"7188",15374.18296,"No","Extended","Bachelor","Employed","F",42570,"Urban","Married",128,5,52,0,2,"Personal Auto","Personal L2","Offer2","Agent",587.409205,"SUV","Large",8065.32223589518
"7189",3230.576665,"Yes","Extended","College","Employed","M",62873,"Urban","Divorced",81,0,41,0,1,"Corporate Auto","Corporate L3","Offer2","Call Center",207.75186,"Four-Door Car","Medsize",4988.85132125735
