"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.I(Coverage == ""Premium"")TRUE","dfbetas.I(EmploymentStatus == ""Unemployed"")TRUE","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Policies","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"8486",12280.767,"Yes","Premium","College","Employed","M",88340,"Suburban","Married",102,16, 1,0,2,"Corporate Auto","Corporate L2","Offer1","Branch", 489.600000,"Two-Door Car","Medsize", 7149.681, 1.7533296294, 1.7533296294,0.0051272783,2.638373e-03, 1.258703e-01, 3.581245e-02, 1.150345e-01,-1.968019e-02,-3.153499e-02,-1.040007e-02, 3.640285e-03,1.0001804
"8493", 8008.096,"No","Basic","High School or Below","Employed","M",63775,"Urban","Married",100,29, 3,0,3,"Corporate Auto","Corporate L1","Offer2","Call Center", 462.753151,"SUV","Small", 7421.537, 0.2000481619, 0.2000481619,0.0025171368,1.683781e-05, 1.004929e-02, 2.624318e-03, 2.762245e-04,-2.414600e-03,-2.580926e-03, 2.646808e-04, 8.626458e-03,1.0048290
"8494", 5318.897,"Yes","Basic","Bachelor","Employed","F",25134,"Suburban","Married", 67, 3, 0,0,6,"Personal Auto","Personal L3","Offer2","Call Center", 321.600000,"Four-Door Car","Small", 6212.759,-0.3046812844,-0.3046812844,0.0013578086,2.104389e-05,-1.123466e-02,-2.895462e-03, 2.101743e-04, 3.926018e-03, 2.966642e-03,-7.333163e-03, 9.070221e-04,1.0035356
"8495", 5483.891,"No","Basic","Bachelor","Employed","M",87777,"Urban","Single", 68,16, 1,0,7,"Personal Auto","Personal L2","Offer1","Branch", 257.708912,"Two-Door Car","Medsize", 6567.737,-0.3695243360,-0.3695243360,0.0018025677,4.111114e-05,-1.570293e-02,-2.177239e-03, 3.052141e-04, 4.880797e-03, 3.239083e-03,-1.192052e-02, 1.181338e-03,1.0038777
"8503", 2594.794,"No","Basic","High School or Below","Employed","F",30064,"Urban","Married", 65,20,23,0,1,"Personal Auto","Personal L3","Offer1","Agent", 296.852419,"Two-Door Car","Large", 4560.612,-0.6700271281,-0.6700271281,0.0010957395,8.209419e-05,-2.219137e-02,-1.709410e-02, 7.028383e-04, 7.576028e-03, 8.206004e-03, 1.125191e-02, 2.020983e-03,1.0024177
"8505", 2332.095,"No","Basic","College","Unemployed","M",    0,"Suburban","Single", 67, 4,99,0,1,"Corporate Auto","Corporate L1","Offer3","Web", 482.400000,"Four-Door Car","Small", 4237.414,-0.6497218824,-0.6497218824,0.0020762136,1.464126e-04,-2.963567e-02,-1.145267e-02, 8.786663e-04,-2.200273e-02, 7.209358e-03, 1.201665e-02, 2.392478e-03,1.0034670
"8509",11790.496,"Yes","Basic","College","Retired","M",25251,"Suburban","Divorced", 66,13,43,0,2,"Corporate Auto","Corporate L3","Offer2","Web", 316.800000,"Four-Door Car","Medsize", 4915.590, 2.3453284852, 2.3453284852,0.0008701218,7.969583e-04, 6.921221e-02, 5.135800e-02,-2.778704e-03,-2.726543e-02,-2.643854e-02,-2.019259e-02,-7.587431e-03,0.9901620
"8510", 5477.206,"No","Basic","College","Medical Leave","F",21289,"Suburban","Married", 71,15,98,0,3,"Corporate Auto","Corporate L2","Offer2","Branch", 340.800000,"Four-Door Car","Large", 5434.221, 0.0146469305, 0.0146469305,0.0007247423,2.594261e-08, 3.944535e-04, 2.277943e-04,-3.962960e-05,-1.753658e-04,-1.048852e-04,-5.208705e-06,-7.276883e-05,1.0031222
"8512", 3674.568,"No","Extended","College","Employed","F",84814,"Suburban","Married", 90,25,60,0,1,"Corporate Auto","Corporate L3","Offer4","Call Center", 512.816507,"Four-Door Car","Medsize", 5583.449,-0.6505858599,-0.6505858599,0.0010001640,7.064211e-05,-2.058532e-02,-5.484435e-03, 6.314993e-03, 7.472462e-03,-4.794518e-03, 1.063032e-02, 8.119785e-03,1.0023834
"8516", 4563.859,"No","Basic","Doctor","Employed","F",62010,"Suburban","Married",112, 2,51,0,1,"Personal Auto","Personal L3","Offer2","Agent", 537.600000,"SUV","Medsize", 7284.370,-0.9280209746,-0.9280209746,0.0025792945,3.712025e-04,-4.719207e-02,-9.999663e-03, 2.968947e-03, 1.070108e-02, 3.578345e-03, 1.373504e-02,-3.550389e-02,1.0029189
"8517", 7430.348,"No","Extended","College","Employed","M",61568,"Urban","Married", 93, 3,36,0,3,"Corporate Auto","Corporate L1","Offer1","Agent", 240.818954,"Four-Door Car","Medsize", 6334.317, 0.3734867266, 0.3734867266,0.0007754168,1.804763e-05, 1.040426e-02, 1.952825e-04,-3.855747e-03,-4.530726e-03, 3.771937e-03, 1.598399e-05,-4.965967e-03,1.0028387
"8524", 5044.857,"No","Basic","Bachelor","Employed","M",59292,"Urban","Married", 64,14,92,0,4,"Corporate Auto","Corporate L3","Offer2","Call Center", 218.491318,"Two-Door Car","Medsize", 5461.891,-0.1421145661,-0.1421145661,0.0008921906,3.007052e-06,-4.246794e-03,-2.473885e-03, 1.016147e-05, 1.738939e-03, 1.771501e-03,-1.091606e-03, 3.068682e-04,1.0032423
"8525", 3090.132,"No","Extended","High School or Below","Employed","F",23970,"Rural","Married", 77,13,19,0,1,"Personal Auto","Personal L2","Offer2","Call Center",  43.959921,"Four-Door Car","Medsize", 5051.574,-0.6684874072,-0.6684874072,0.0009539142,7.113033e-05,-2.065642e-02,-1.157278e-02, 3.479141e-03, 7.615593e-03, 1.892376e-03, 1.107997e-02, 5.053070e-03,1.0022804
"8526", 8514.395,"No","Basic","College","Employed","M",48428,"Urban","Married", 72, 8, 5,1,2,"Personal Auto","Personal L2","Offer2","Call Center", 223.728018,"Four-Door Car","Medsize", 5161.071, 1.1429610779, 1.1429610779,0.0007862204,1.712949e-04, 3.206080e-02, 2.034242e-02,-3.728750e-03,-1.333600e-02,-7.503525e-03,-9.715949e-03,-6.293430e-03,1.0000537
"8535", 6371.320,"No","Extended","College","Employed","M",23797,"Suburban","Married", 81,10,57,0,3,"Personal Auto","Personal L2","Offer2","Web", 388.800000,"Four-Door Car","Medsize", 5843.356, 0.1798979364, 0.1798979364,0.0006739692,3.639163e-06, 4.671890e-03, 1.568807e-03,-1.109630e-03,-2.166736e-03, 1.231384e-04,-3.139511e-05,-1.574699e-03,1.0029940
"8543", 9344.432,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Married", 64,25,96,1,2,"Personal Auto","Personal L2","Offer2","Branch", 307.200000,"Two-Door Car","Medsize", 4428.738, 1.6769216186, 1.6769216186,0.0018980822,8.906370e-04, 7.312785e-02, 2.808202e-02,-1.717122e-04, 5.629542e-02,-2.223857e-02,-1.740655e-02,-4.001593e-03,0.9975693
"8544", 5081.742,"No","Basic","High School or Below","Unemployed","F",    0,"Rural","Married", 69,17,76,0,7,"Personal Auto","Personal L1","Offer3","Branch",  93.697638,"Two-Door Car","Medsize", 6203.625,-0.3826530784,-0.3826530784,0.0026353562,6.450485e-05,-1.966971e-02, 5.058607e-04, 2.994988e-04,-1.223856e-02, 3.213121e-03,-1.169402e-02, 1.333202e-03,1.0046922
"8549", 7019.177,"Yes","Basic","College","Retired","M",26806,"Suburban","Married", 63,32,19,0,2,"Personal Auto","Personal L2","Offer1","Agent", 302.400000,"Four-Door Car","Medsize", 4792.849, 0.7587743905, 0.7587743905,0.0009286791,8.921066e-05, 2.313381e-02, 1.817138e-02,-1.107276e-04,-8.805009e-03,-1.033985e-02,-6.574243e-03,-1.593053e-03,1.0019461
"8553", 6952.651,"No","Basic","College","Unemployed","F",    0,"Suburban","Single", 73, 2,38,3,2,"Corporate Auto","Corporate L1","Offer2","Agent", 525.600000,"Four-Door Car","Medsize", 4796.959, 0.7350014882, 0.7350014882,0.0017608715,1.588539e-04, 3.086987e-02, 7.786164e-03,-2.366963e-03, 2.462537e-02,-4.554146e-03,-7.508978e-03,-4.259087e-03,1.0028666
"8554", 7465.981,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Single",109, 4,33,0,8,"Personal Auto","Personal L3","Offer3","Branch", 784.800000,"SUV","Medsize", 8955.053,-0.5085021255,-0.5085021255,0.0049735975,2.154759e-04,-3.595098e-02, 7.240931e-03, 1.504591e-04,-1.603931e-02, 2.700604e-03,-2.067433e-02,-2.067197e-02,1.0067829
"8555",13220.804,"No","Basic","College","Disabled","M",29504,"Suburban","Married",117,24,90,0,2,"Personal Auto","Personal L2","Offer1","Branch", 809.039071,"SUV","Medsize", 7803.001, 1.8488892880, 1.8488892880,0.0023913033,1.364352e-03, 9.052075e-02, 8.181140e-03,-8.728893e-03,-2.196218e-02, 4.789312e-04,-1.208916e-02, 6.752011e-02,0.9966171
"8556", 4014.919,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single",113,35,29,0,1,"Personal Auto","Personal L1","Offer2","Call Center",1305.275432,"SUV","Medsize", 6920.259,-0.9915873843,-0.9915873843,0.0035714857,5.873763e-04,-5.936526e-02,-3.530828e-03, 3.130616e-03,-3.339833e-02, 3.456062e-03, 1.638174e-02,-3.767110e-02,1.0036245
"8557", 8744.727,"No","Basic","Bachelor","Employed","M",61706,"Rural","Married",110, 6,71,0,7,"Corporate Auto","Corporate L3","Offer3","Call Center", 223.905524,"SUV","Small", 9086.927,-0.1167678563,-0.1167678563,0.0035399724,8.076184e-06,-6.959745e-03, 6.358732e-04, 1.451948e-04, 1.564650e-03, 5.017389e-04,-3.993795e-03,-4.669743e-03,1.0059239
"8559", 5520.150,"No","Basic","Bachelor","Employed","F",26129,"Suburban","Divorced", 70, 4,38,0,3,"Personal Auto","Personal L2","Offer1","Agent", 419.187114,"Four-Door Car","Medsize", 5393.308, 0.0432211677, 0.0432211677,0.0007365852,2.295925e-07, 1.173459e-03, 7.017221e-04,-1.019766e-04,-5.171748e-04,-3.434133e-04,-1.615302e-05,-1.983718e-04,1.0031301
"8565", 6878.008,"No","Extended","High School or Below","Employed","M",39020,"Suburban","Married", 87, 0, 4,0,5,"Corporate Auto","Corporate L1","Offer3","Agent", 485.013840,"Four-Door Car","Small", 6716.964, 0.0548816414, 0.0548816414,0.0009667413,4.859661e-07, 1.707231e-03,-6.777047e-05,-4.295089e-04,-6.977665e-04, 3.166288e-04, 8.924815e-04,-5.876341e-04,1.0033584
"8566", 6411.675,"No","Extended","Bachelor","Employed","F",47606,"Suburban","Divorced", 81,24,50,0,4,"Personal Auto","Personal L3","Offer3","Agent", 388.800000,"Two-Door Car","Small", 6157.420, 0.0866370379, 0.0866370379,0.0007377069,9.239154e-07, 2.353996e-03, 5.018492e-04,-5.161802e-04,-1.070582e-03, 7.562886e-05, 6.920951e-04,-7.445776e-04,1.0031177
"8567",10144.309,"No","Extended","College","Medical Leave","F",27231,"Suburban","Married", 88, 0, 7,0,2,"Personal Auto","Personal L2","Offer1","Branch", 422.400000,"Four-Door Car","Medsize", 5815.686, 1.4756369356, 1.4756369356,0.0007789838,2.827944e-04, 4.120149e-02, 1.013333e-02,-1.298954e-02,-1.738684e-02, 8.836158e-03,-1.211629e-02,-1.706265e-02,0.9979650
"8568", 8575.962,"No","Extended","College","Employed","F",39946,"Suburban","Divorced",218,23,99,0,1,"Personal Auto","Personal L1","Offer1","Branch",1046.400000,"Luxury SUV","Small",10820.371,-0.7694298346,-0.7694298346,0.0125561173,1.254875e-03,-8.676419e-02, 6.116008e-02, 4.181800e-02, 9.599256e-03,-8.343203e-02, 1.085131e-02, 4.716223e-02,1.0137048
"8576", 2751.250,"No","Basic","High School or Below","Employed","M",86788,"Suburban","Single", 70,32,68,0,1,"Personal Auto","Personal L3","Offer2","Agent", 336.000000,"Four-Door Car","Medsize", 4765.180,-0.6864004098,-0.6864004098,0.0010151186,7.980926e-05,-2.188046e-02,-1.516618e-02, 1.908524e-03, 7.785454e-03, 5.713256e-03, 1.146425e-02, 3.369597e-03,1.0022836
"8577", 2914.095,"No","Extended","High School or Below","Disabled","M",28523,"Suburban","Married", 77,15,12,0,1,"Corporate Auto","Corporate L1","Offer3","Agent", 369.600000,"Four-Door Car","Large", 5051.574,-0.7284957781,-0.7284957781,0.0009539142,8.447105e-05,-2.251070e-02,-1.261164e-02, 3.791455e-03, 8.299225e-03, 2.062249e-03, 1.207459e-02, 5.506670e-03,1.0020793
"8578", 5824.767,"No","Basic","Bachelor","Employed","F",38492,"Urban","Married", 72,27,34,0,3,"Personal Auto","Personal L3","Offer2","Branch", 207.901654,"Four-Door Car","Medsize", 5475.134, 0.1191352092, 0.1191352092,0.0007141295,1.691169e-06, 3.184812e-03, 1.771436e-03,-3.635891e-04,-1.427237e-03,-7.596449e-04,-4.020885e-05,-6.369802e-04,1.0030780
"8580", 2424.691,"No","Basic","Master","Employed","M",49008,"Suburban","Married", 61,11,74,1,1,"Personal Auto","Personal L1","Offer1","Branch", 292.800000,"Four-Door Car","Medsize", 4396.959,-0.6722547206,-0.6722547206,0.0011823784,8.918292e-05,-2.312965e-02,-1.898913e-02,-2.261086e-04, 7.582264e-03, 1.034377e-02, 1.133852e-02, 1.009678e-03,1.0024975
"8583", 6106.469,"No","Premium","High School or Below","Employed","F",60234,"Rural","Married",152,14,98,0,1,"Personal Auto","Personal L2","Offer3","Web", 136.217066,"SUV","Medsize", 9682.115,-1.2225180324,-1.2225180324,0.0068810301,1.725543e-03,-1.017610e-01,-7.991264e-03,-7.611392e-02, 1.364160e-02, 9.060188e-03, 1.474458e-02,-5.152246e-02,1.0057382
"8588", 8773.508,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single", 87,24,53,0,2,"Personal Auto","Personal L3","Offer4","Branch", 626.400000,"Four-Door Car","Medsize", 5369.747, 1.1607185964, 1.1607185964,0.0017454814,3.925694e-04, 4.853599e-02, 1.188805e-03,-9.367522e-03, 3.877168e-02, 5.563473e-03,-1.156370e-02,-1.288023e-02,1.0009167
"8590",10408.969,"Yes","Basic","High School or Below","Retired","M",20228,"Suburban","Divorced",101, 3,43,1,2,"Personal Auto","Personal L3","Offer1","Branch", 523.815839,"SUV","Medsize", 7148.386, 1.1123130088, 1.1123130088,0.0025422651,5.255185e-04, 5.615523e-02, 1.709151e-02, 9.162129e-04,-1.308600e-02,-1.368704e-02,-7.596117e-03, 4.736682e-02,1.0019799
"8592", 2248.450,"Yes","Basic","Bachelor","Retired","F",24910,"Suburban","Single", 63, 7,63,1,1,"Personal Auto","Personal L1","Offer1","Branch", 347.857619,"Four-Door Car","Medsize", 4478.785,-0.7602198454,-0.7602198454,0.0011365987,1.096229e-04,-2.564423e-02,-2.043446e-02, 2.708874e-04, 8.585115e-03, 1.050390e-02, 1.279434e-02, 1.717422e-03,1.0021494
"8593", 5205.025,"No","Basic","Bachelor","Employed","M",32946,"Suburban","Married", 66,13, 7,0,6,"Corporate Auto","Corporate L3","Offer1","Branch", 316.800000,"Two-Door Car","Small", 6171.846,-0.3295534643,-0.3295534643,0.0013736856,2.490802e-05,-1.222273e-02,-3.357064e-03, 1.131849e-04, 4.244183e-03, 3.467477e-03,-7.925887e-03, 8.562862e-04,1.0035137
"8598", 7449.855,"No","Extended","High School or Below","Unemployed","F",    0,"Suburban","Single",206, 7,82,0,1,"Personal Auto","Personal L2","Offer2","Agent",1483.200000,"Luxury SUV","Large", 9924.384,-0.8479063694,-0.8479063694,0.0115430644,1.399447e-03,-9.162829e-02, 6.593841e-02, 4.218479e-02,-2.800190e-02,-8.351643e-02, 1.361096e-02, 4.799403e-02,1.0123584
"8600", 4386.278,"Yes","Basic","College","Retired","M",10621,"Suburban","Single", 67,28,22,0,5,"Personal Auto","Personal L3","Offer1","Agent", 321.600000,"Four-Door Car","Medsize", 5898.695,-0.5154551438,-0.5154551438,0.0010318676,4.575410e-05,-1.656636e-02,-6.407314e-03, 4.639489e-04, 6.479810e-03, 5.115241e-03,-8.195846e-03, 1.616388e-03,1.0027933
"8603", 5860.483,"No","Basic","Bachelor","Employed","F",36889,"Urban","Married", 74,24,82,1,3,"Personal Auto","Personal L2","Offer1","Agent", 192.186026,"Four-Door Car","Medsize", 5556.961, 0.1034222336, 0.1034222336,0.0006965941,1.243170e-06, 2.730581e-03, 1.396478e-03,-3.872529e-04,-1.240468e-03,-4.971724e-04,-3.115948e-05,-6.312589e-04,1.0030688
"8605", 5300.686,"No","Basic","Master","Disabled","M",26585,"Urban","Married", 69,26,23,0,4,"Corporate Auto","Corporate L3","Offer1","Call Center", 308.651195,"Four-Door Car","Large", 5666.458,-0.1246405504,-0.1246405504,0.0008098507,2.099398e-06,-3.548443e-03,-1.743848e-03, 2.247113e-04, 1.529529e-03, 1.064670e-03,-9.686324e-04, 5.050376e-04,1.0031708
"8606", 3630.269,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Single",101,34,53,0,1,"Corporate Auto","Corporate L2","Offer2","Web", 727.200000,"SUV","Small", 6429.297,-0.9553636554,-0.9553636554,0.0037255393,5.688679e-04,-5.842165e-02,-1.124588e-02,-9.591451e-04,-3.226305e-02, 1.233786e-02, 1.599244e-02,-4.064390e-02,1.0039491
"8616",11288.172,"No","Basic","College","Employed","F",96399,"Urban","Married", 70, 1,28,0,2,"Personal Auto","Personal L1","Offer2","Agent", 307.895350,"Four-Door Car","Medsize", 5079.244, 2.1176416851, 2.1176416851,0.0008092671,6.044971e-04, 6.026626e-02, 4.058371e-02,-5.442014e-03,-2.467845e-02,-1.722534e-02,-1.807831e-02,-1.005714e-02,0.9925077
"8617", 4686.470,"Yes","Basic","College","Employed","M",58089,"Suburban","Married",118,31,83,0,1,"Corporate Auto","Corporate L3","Offer1","Agent", 566.400000,"SUV","Medsize", 7529.851,-0.9699431001,-0.9699431001,0.0025651953,4.032621e-04,-4.918857e-02,-6.471890e-03, 5.120019e-03, 1.122616e-02,-8.300041e-04, 1.424991e-02,-3.490252e-02,1.0027138
"8620", 5306.163,"No","Basic","College","Employed","M",42871,"Suburban","Married", 67, 2,13,0,6,"Corporate Auto","Corporate L3","Offer3","Web", 321.600000,"Four-Door Car","Small", 6212.759,-0.3090219153,-0.3090219153,0.0013578086,2.164774e-05,-1.139472e-02,-2.936712e-03, 2.131685e-04, 3.981950e-03, 3.008907e-03,-7.437634e-03, 9.199439e-04,1.0035292
"8624",14627.928,"No","Extended","College","Employed","F",40711,"Suburban","Married",121,12,38,0,2,"Personal Auto","Personal L3","Offer3","Web", 580.800000,"SUV","Medsize", 7966.655, 2.2740447213, 2.2740447213,0.0024027675,2.072438e-03, 1.116034e-01, 3.843101e-03,-1.388847e-02,-2.707784e-02, 7.731389e-03,-1.470430e-02, 7.960087e-02,0.9924634
"8627", 5018.894,"No","Basic","Doctor","Employed","F",74423,"Rural","Married", 62,31,10,0,5,"Personal Auto","Personal L2","Offer2","Agent",  50.800186,"Four-Door Car","Medsize", 5694.128,-0.2301309128,-0.2301309128,0.0011250314,9.945262e-06,-7.723279e-03,-3.646991e-03,-1.913610e-04, 2.884871e-03, 3.186782e-03,-3.638459e-03, 2.860419e-04,1.0033975
"8628", 7200.665,"Yes","Basic","College","Unemployed","F",    0,"Suburban","Married", 66,16,77,0,2,"Personal Auto","Personal L1","Offer2","Agent", 316.800000,"Four-Door Car","Medsize", 4510.565, 0.9173125282, 0.9173125282,0.0018589801,2.612123e-04, 3.958756e-02, 1.410712e-02,-7.295474e-04, 3.078105e-02,-1.072459e-02,-9.488330e-03,-2.883774e-03,1.0022425
"8633", 8167.992,"No","Premium","High School or Below","Unemployed","F",    0,"Suburban","Single",117, 5,27,0,6,"Personal Auto","Personal L2","Offer1","Call Center", 842.400000,"Two-Door Car","Medsize", 8614.613,-0.1526220556,-0.1526220556,0.0064451477,2.519379e-05,-1.229243e-02, 1.240777e-03,-9.413508e-03,-4.990416e-03, 8.934065e-04,-3.868780e-03, 4.401996e-04,1.0088419
"8637", 8869.631,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Married",119,12,57,0,4,"Corporate Auto","Corporate L1","Offer1","Agent", 571.200000,"SUV","Medsize", 8107.931, 0.2598915191, 0.2598915191,0.0033580627,3.794409e-05, 1.508575e-02,-2.427470e-03,-1.196876e-03, 8.497517e-03, 4.663685e-04, 2.107960e-03, 9.405768e-03,1.0056106
"8639", 2810.957,"No","Basic","High School or Below","Employed","M",20371,"Suburban","Married", 71,19,14,1,1,"Personal Auto","Personal L2","Offer4","Call Center", 340.800000,"Four-Door Car","Medsize", 4806.093,-0.6799897059,-0.6799897059,0.0010026848,7.736538e-05,-2.154281e-02,-1.455983e-02, 2.126173e-03, 7.717568e-03, 5.126307e-03, 1.134479e-02, 3.595539e-03,1.0022921
"8641", 2449.580,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Single", 69,20,44,0,1,"Corporate Auto","Corporate L3","Offer3","Branch", 496.800000,"Four-Door Car","Large", 4319.241,-0.6375500683,-0.6375500683,0.0020439013,1.387806e-04,-2.885284e-02,-1.036627e-02, 1.304000e-03,-2.158103e-02, 6.073156e-03, 1.176823e-02, 2.830605e-03,1.0034721
"8642", 9445.926,"No","Extended","College","Employed","M",76837,"Rural","Divorced", 78, 2,12,0,2,"Corporate Auto","Corporate L2","Offer4","Call Center",  23.788022,"Four-Door Car","Small", 5406.551, 1.3769318103, 1.3769318103,0.0007466032,2.360113e-04, 3.763739e-02, 1.886210e-02,-7.352651e-03,-1.612487e-02,-2.557735e-03,-1.155501e-02,-1.070889e-02,0.9986048
"8644", 6785.536,"No","Premium","Bachelor","Unemployed","F",    0,"Suburban","Single",197, 6,22,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",1439.676002,"Sports Car","Small",10317.370,-1.2089024457,-1.2089024457,0.0091340347,2.244911e-03,-1.160687e-01, 5.841619e-02,-3.975827e-02,-4.078256e-02,-6.796602e-02, 1.710519e-02, 4.122245e-02,1.0081048
"8647",12723.153,"No","Basic","Master","Employed","M",34665,"Suburban","Married", 64,29,58,0,2,"Personal Auto","Personal L3","Offer2","Branch", 450.859480,"Two-Door Car","Small", 4833.763, 2.6924001455, 2.6924001455,0.0009079299,1.095201e-03, 8.116392e-02, 6.263830e-02,-1.325254e-03,-3.126227e-02,-3.457658e-02,-2.327874e-02,-6.671911e-03,0.9860750
"8649",12148.941,"No","Basic","High School or Below","Employed","F",37025,"Urban","Married",101,15,36,0,2,"Corporate Auto","Corporate L1","Offer3","Branch", 427.243803,"SUV","Medsize", 7148.386, 1.7064554745, 1.7064554745,0.0025422651,1.236044e-03, 8.615056e-02, 2.622094e-02, 1.405608e-03,-2.007590e-02,-2.099798e-02,-1.165359e-02, 7.266782e-02,0.9979752
"8658", 5838.899,"Yes","Basic","High School or Below","Employed","M",81082,"Urban","Married", 73, 5,85,0,4,"Personal Auto","Personal L2","Offer2","Agent", 281.295903,"Four-Door Car","Large", 5830.112, 0.0029942585, 0.0029942585,0.0007661209,1.146122e-09, 8.290951e-05, 3.370942e-05,-9.545415e-06,-3.682915e-05,-1.617949e-05, 2.348600e-05,-1.666611e-05,1.0031642
"8659",12206.892,"No","Premium","College","Disabled","F",17705,"Suburban","Married",108, 7,19,1,2,"Personal Auto","Personal L3","Offer2","Agent", 668.739010,"Two-Door Car","Medsize", 7395.162, 1.6439607088, 1.6439607088,0.0049805894,2.253129e-03, 1.163097e-01, 2.682315e-02, 1.044282e-01,-1.852208e-02,-2.181067e-02,-9.571604e-03,-3.287653e-04,1.0009216
"8660",14196.965,"No","Basic","High School or Below","Employed","F",77738,"Urban","Married",118,18,47,0,2,"Personal Auto","Personal L3","Offer2","Call Center", 463.457352,"SUV","Small", 7843.915, 2.1686093170, 2.1686093170,0.0023923241,1.876856e-03, 1.061968e-01, 8.113129e-03,-1.098988e-02,-2.577557e-02, 2.264535e-03,-1.414038e-02, 7.837453e-02,0.9935640
"8666", 5406.695,"No","Basic","College","Medical Leave","M",21855,"Suburban","Married", 74,21,49,1,6,"Corporate Auto","Corporate L2","Offer1","Web", 355.200000,"Four-Door Car","Medsize", 6499.153,-0.3723636517,-0.3723636517,0.0012811122,2.965353e-05,-1.333642e-02,-1.757346e-03, 1.159648e-03, 4.816655e-03, 1.580007e-03,-9.009035e-03, 2.095402e-03,1.0033485
"8674", 8438.464,"No","Basic","College","Disabled","M",25539,"Suburban","Married",112,15,63,0,3,"Personal Auto","Personal L3","Offer1","Web", 585.069825,"SUV","Small", 7912.498, 0.1793683513, 0.1793683513,0.0023631765,1.270667e-05, 8.729868e-03, 8.811967e-04,-4.982589e-04,-2.180268e-03,-6.238987e-04, 2.763130e-04, 6.918680e-03,1.0046928
"8677", 7948.545,"No","Basic","College","Employed","M",23916,"Suburban","Married", 68,33,86,0,2,"Corporate Auto","Corporate L3","Offer4","Call Center", 481.113765,"Two-Door Car","Medsize", 4997.417, 1.0058413695, 1.0058413695,0.0008372342,1.412916e-04, 2.911621e-02, 2.065117e-02,-1.888289e-03,-1.170756e-02,-9.760177e-03,-8.623422e-03,-4.015498e-03,1.0008099
"8686", 8518.549,"No","Basic","Doctor","Unemployed","F",    0,"Suburban","Married",112,19,86,1,8,"Personal Auto","Personal L3","Offer2","Branch", 537.600000,"Sports Car","Medsize", 8276.967, 0.0824441352, 0.0824441352,0.0037843777,4.305082e-06, 5.081364e-03,-2.776423e-03,-1.276608e-03, 2.587115e-03, 2.108421e-03, 3.259292e-03,-1.618243e-03,1.0061872
"8687", 5194.655,"No","Basic","College","Employed","M",51883,"Suburban","Married", 66, 8,99,0,9,"Personal Auto","Personal L2","Offer2","Call Center", 623.751121,"Two-Door Car","Small", 7114.038,-0.6548709263,-0.6548709263,0.0031496404,2.258864e-04,-3.681046e-02,-9.170421e-04,-1.886229e-04, 9.055925e-03, 6.525886e-03,-3.182038e-02, 1.389634e-03,1.0045314
"8693", 3286.441,"No","Extended","High School or Below","Employed","M",30706,"Urban","Married", 84, 6,34,0,1,"Personal Auto","Personal L2","Offer2","Agent", 225.654806,"Four-Door Car","Medsize", 5337.968,-0.6991954118,-0.6991954118,0.0009529855,7.773825e-05,-2.159478e-02,-8.760373e-03, 5.333879e-03, 8.000512e-03,-1.860966e-03, 1.150029e-02, 7.138074e-03,1.0021787
"8694", 2648.350,"No","Basic","High School or Below","Medical Leave","F",29587,"Suburban","Married", 69, 8,68,0,1,"Personal Auto","Personal L2","Offer4","Web", 331.200000,"Two-Door Car","Small", 4724.266,-0.7075359731,-0.7075359731,0.0010287826,8.594150e-05,-2.270564e-02,-1.611671e-02, 1.722275e-03, 8.020165e-03, 6.444393e-03, 1.183015e-02, 3.205511e-03,1.0022266
"8696", 7194.233,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Single", 71,22, 0,0,2,"Personal Auto","Personal L3","Offer1","Branch", 599.375099,"Four-Door Car","Medsize", 4715.132, 0.8453090951, 0.8453090951,0.0017827520,2.127135e-04, 3.572304e-02, 1.011037e-02,-2.136518e-03, 2.833353e-02,-6.564743e-03,-8.666639e-03,-4.258044e-03,1.0024703
"8707", 2866.825,"No","Basic","High School or Below","Employed","F",87428,"Urban","Divorced", 72,27,42,0,1,"Personal Auto","Personal L3","Offer2","Agent", 224.483337,"Four-Door Car","Medsize", 4847.007,-0.6748881694,-0.6748881694,0.0009914811,7.535671e-05,-2.126128e-02,-1.398940e-02, 2.343928e-03, 7.664464e-03, 4.558271e-03, 1.124739e-02, 3.824045e-03,1.0022974
